Altitude,Latitude,Loctime,Electron Density,Electron Temperature,Density
1.137E+03,-9E+00,2.2E+01,1.23E+03,7.17E-02,3.3E+00
1.318E+03,-5.1E+01,1.6E+01,1.589E+03,6.68E-02,9.4E+00
1.187E+03,-4.7E+01,1.1E+01,2.826E+03,5.69E-02,2.9E+01
1.089E+03,-4.1E+01,6E+00,3.09E+03,4.44E-02,3.28E+01
1.026E+03,-3.6E+01,2E+00,2.926E+03,4.11E-02,2.96E+01
1E+03,-3.1E+01,0E+00,2.9E+03,5.7E-02,3.02E+01
1E+03,-3.1E+01,0E+00,3.029E+03,4.83E-02,3.04E+01
1.011E+03,-2.5E+01,-3E+00,2.444E+03,5.7E-02,2.46E+01
1.06E+03,-2E+01,-6E+00,1.453E+03,6.71E-02,4.7E+00
1.425E+03,-4.6E+01,1.5E+01,1.319E+03,7.36E-02,3.3E+00
1.274E+03,-4.1E+01,1.1E+01,2.098E+03,6.69E-02,1.1E+01
1.153E+03,-3.6E+01,7E+00,2.556E+03,4E-02,2.44E+01
1.153E+03,-3.6E+01,7E+00,2.827E+03,4E-02,2.67E+01
1.065E+03,-3.1E+01,4E+00,2.815E+03,4E-02,2.57E+01
1.014E+03,-2.6E+01,0E+00,2.752E+03,4E-02,2.61E+01
9.99E+02,-2E+01,-2E+00,2.643E+03,3E-02,2.75E+01
1.022E+03,-1.5E+01,-5E+00,2.508E+03,3.15E-02,2.17E+01
1.083E+03,-9E+00,-7E+00,2.075E+03,4E-02,1.26E+01
1.083E+03,-9E+00,-7E+00,7.88E+02,5.94E-02,3.9E+00
1.298E+03,-1.4E+01,4.6E+01,2.064E+03,3.48E-02,1.97E+01
1.172E+03,-7E+00,4.3E+01,2.616E+03,3.74E-02,3.27E+01
1.079E+03,-1E+00,4E+01,2.544E+03,2.95E-02,3.24E+01
1.022E+03,5E+00,3.7E+01,2.813E+03,2.69E-02,3.41E+01
1.001E+03,1.1E+01,3.4E+01,2.368E+03,2.98E-02,2.88E+01
1.018E+03,1.7E+01,3.1E+01,2.167E+03,3.16E-02,3.41E+01
1.018E+03,1.7E+01,3.1E+01,1.954E+03,3.23E-02,1.91E+01
1.213E+03,-2E+01,1.72E+02,8.89E+02,4.37E-02,4E-01
1.143E+03,-1.5E+01,1.75E+02,7.93E+02,4.29E-02,6.8E+00
1.109E+03,-1E+01,1.78E+02,7.46E+02,1.57E-02,8.5E+00
1.147E+03,0E+00,-1.75E+02,nan,nan,2.8E+00
1.147E+03,0E+00,-1.75E+02,3.26E+02,nan,3.6E+00
1.213E+03,-2E+01,1.72E+02,8.89E+02,4.37E-02,4E-01
1.143E+03,-1.5E+01,1.75E+02,7.93E+02,4.29E-02,6.8E+00
1.109E+03,-1E+01,1.78E+02,7.46E+02,1.57E-02,8.5E+00
1.147E+03,0E+00,-1.75E+02,nan,nan,2.8E+00
1.147E+03,0E+00,-1.75E+02,3.26E+02,nan,3.6E+00
1.347E+03,-1.9E+01,-1.1E+01,1.438E+03,7.74E-02,4.8E+00
1.226E+03,-1.5E+01,-1.4E+01,2.399E+03,6.08E-02,2.34E+01
1.108E+03,-1E+01,-1.6E+01,2.558E+03,4.47E-02,3.8E+01
1.023E+03,-5E+00,-1.9E+01,2.541E+03,4.19E-02,3.79E+01
9.73E+02,0E+00,-2.2E+01,2.453E+03,4.08E-02,3.39E+01
9.73E+02,0E+00,-2.2E+01,2.367E+03,3.86E-02,3.02E+01
9.61E+02,6E+00,-2.5E+01,2.448E+03,4.08E-02,3.2E+01
9.86E+02,1.2E+01,-2.7E+01,2.237E+03,4.88E-02,2.9E+01
1.047E+03,1.8E+01,-3E+01,1.991E+03,7.31E-02,8E+00
1.251E+03,-6.7E+01,-7.3E+01,1.752E+03,5.55E-02,6.2E+00
1.251E+03,-6.7E+01,-7.3E+01,2.182E+03,3.05E-02,1.7E+01
1.129E+03,-6.7E+01,-7.5E+01,1.592E+03,2.85E-02,9E+00
1.041E+03,-6.6E+01,-7.8E+01,1.103E+03,3.06E-02,7.8E+00
9.87E+02,-6.5E+01,-8E+01,1.14E+03,2.73E-02,6.1E+00
9.7E+02,-6.4E+01,-8.2E+01,1.185E+03,4.7E-02,5.3E+00
9.91E+02,-6.2E+01,-8.5E+01,1.619E+03,3.2E-02,5.3E+00
1.048E+03,-5.4E+01,-8.6E+01,2.153E+03,4.13E-02,6.6E+00
